Sentence,Aspect,Opinion,Sentiment,Category
"The responsiveness of the website was excellent, with pages loading instantly.",responsiveness,excellent,positive,SOFTWARE#OPERATION_PERFORMANCE
"The responsiveness of the website was excellent, with pages loading instantly.",pages,loading instantly,positive,SOFTWARE#OPERATION_PERFORMANCE
"The location of the cafe was quaint, nestled in a charming neighborhood.",location,quaint,positive,RESTAURANT#GENERAL
"The location of the cafe was quaint, nestled in a charming neighborhood.",neighborhood,charming,positive,AMBIENCE#GENERAL
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
The customer service was exceptional; the staff was very helpful and attentive.,customer service,exceptional,positive,SUPPORT#GENERAL
The customer service was exceptional; the staff was very helpful and attentive.,staff,helpful,positive,SERVICE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,ambiance,loved,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,atmosphere,cozy,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,music,soothing,positive,AMBIENCE#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",prices,reasonable,positive,PRICES#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",selection,limited,negative,STYLE_OPTIONS
"The location of the hotel is convenient, close to public transportation and tourist attractions.",location,convenient,positive,RESTAURANT#MISCELLANEOUS
The cleanliness of the restroom was appalling; it definitely needs improvement.,cleanliness of the restroom,appalling,negative,AMBIENCE#GENERAL
"The design of the website is user-friendly and intuitive, making navigation effortless.",design,user-friendly,positive,LAPTOP#DESIGN_FEATURES
"The design of the website is user-friendly and intuitive, making navigation effortless.",navigation,intuitive,positive,LAPTOP#DESIGN_FEATURES
"The sound quality of the speakers is excellent, providing a rich audio experience.",sound quality,excellent,positive,MULTIMEDIA_DEVICES#QUALITY
"The sound quality of the speakers is excellent, providing a rich audio experience.",speakers,rich audio experience,positive,MULTIMEDIA_DEVICES#QUALITY
"The portion size of the dishes served was generous, ensuring no one left hungry.",portion size,generous,positive,FOOD#STYLE_OPTIONS
"The delivery service was punctual, and my order arrived right on time.",delivery service,punctual,positive,SERVICE#GENERAL
"The delivery service was punctual, and my order arrived right on time.",order,arrived right on time,positive,FOOD#QUALITY
"The decor of the restaurant was elegant and tasteful, creating a pleasant dining atmosphere.",decor,elegant and tasteful,positive,AMBIENCE#GENERAL
"The decor of the restaurant was elegant and tasteful, creating a pleasant dining atmosphere.",dining atmosphere,pleasant,positive,AMBIENCE#GENERAL
"The internet speed at the hotel was fast, allowing for smooth browsing and streaming.",internet speed,fast,positive,PORTS#OPERATION_PERFORMANCE
"The variety of dishes on the menu was impressive, catering to different tastes and preferences.",variety of dishes,impressive,positive,FOOD#QUALITY
"The comfort of the seating arrangement was satisfactory, but the chairs could be more cushioned.",seating arrangement,comfortable,positive,AMBIENCE#GENERAL
"The comfort of the seating arrangement was satisfactory, but the chairs could be more cushioned.",chairs,could be more cushioned,neutral,AMBIENCE#GENERAL
"The checkout process at the store was quick and efficient, with no long queues.",checkout process,quick,positive,SUPPORT#OPERATION_PERFORMANCE
The temperature of the room was too cold; they should adjust the thermostat.,temperature of the room,too cold,negative,AMBIENCE#GENERAL
"The professionalism of the staff members was commendable, they handled all inquiries with courtesy.",staff members,professionalism,positive,SERVICE#GENERAL
"The menu options for vegetarians were limited, they should add more plant-based choices.",menu options,limited,negative,FOOD#STYLE_OPTIONS
"The menu options for vegetarians were limited, they should add more plant-based choices.",plant-based choices,add,positive,FOOD#STYLE_OPTIONS
"The packaging of the product was secure, preventing any damage during transit.",packaging,secure,positive,LAPTOP#DESIGN_FEATURES
"The lighting in the room was dim, making it difficult to read.",lighting,difficult to read,negative,AMBIENCE#GENERAL
"The taste of the coffee was bitter, they need to improve the quality of their beans.",coffee,bitter,negative,DRINKS#QUALITY
"The taste of the coffee was bitter, they need to improve the quality of their beans.",beans,quality,negative,FOOD#QUALITY
"The facilities at the gym were well-maintained, with modern equipment available.",facilities,well-maintained,positive,AMBIENCE#GENERAL
"The facilities at the gym were well-maintained, with modern equipment available.",equipment,modern,positive,LAPTOP#GENERAL
"The checkout process on the website was confusing, I had trouble completing my purchase.",checkout process,confusing,negative,SUPPORT#GENERAL
"The speed of the internet connection was inconsistent, leading to frequent disruptions.",internet connection,inconsistent,negative,PORTS#OPERATION_PERFORMANCE
"The cleanliness of the swimming pool was questionable, there were leaves floating in the water.",cleanliness of the swimming pool,questionable,negative,AMBIENCE#GENERAL
"The portion size of the appetizers was small, considering the price.",portion size of the appetizers,small,negative,FOOD#STYLE_OPTIONS
"The check-in process at the hotel was smooth, and the staff were welcoming.",check-in process,smooth,positive,LAPTOP#GENERAL
"The check-in process at the hotel was smooth, and the staff were welcoming.",staff,welcoming,positive,SERVICE#GENERAL
"The view from the balcony was breathtaking, overlooking the city skyline.",balcony,breathtaking,positive,AMBIENCE#GENERAL
"The menu prices were affordable, making it a budget-friendly dining option.",menu prices,affordable,positive,FOOD#PRICES
"The quality of the ingredients used in the dishes was evident, everything tasted fresh.",ingredients,fresh,positive,FOOD#QUALITY
"The temperature of the food was lukewarm, it could have been hotter.",temperature of the food,lukewarm,negative,FOOD#QUALITY
"The selection of wines at the bar was extensive, with options from various regions.",selection of wines,extensive,positive,DRINKS#STYLE_OPTIONS
"The hotel room was spacious and well-furnished, providing a comfortable stay.",hotel room,spacious,positive,AMBIENCE#GENERAL
"The presentation of the dishes was artistic, almost too beautiful to eat.",presentation of the dishes,artistic,positive,FOOD#QUALITY
"The sound insulation in the room was poor, I could hear noise from the neighboring rooms.",sound insulation,poor,negative,AMBIENCE#GENERAL
"The staff members were knowledgeable about the menu, offering helpful recommendations.",staff members,knowledgeable,positive,SERVICE#GENERAL
"The check-out process was hassle-free, and I received my invoice promptly.",check-out process,hover-free,positive,SUPPORT#GENERAL
"The check-out process was hassle-free, and I received my invoice promptly.",invoice,promptly,positive,SUPPORT#GENERAL
"The decor of the cafe was charming, with vintage furniture and cozy lighting.",decor,charming,positive,AMBIENCE#GENERAL
"The decor of the cafe was charming, with vintage furniture and cozy lighting.",furnishings,cozy,positive,AMBIENCE#GENERAL
"The internet connection was unreliable, constantly dropping out.",internet connection,unreliable,negative,PORTS#OPERATION_PERFORMANCE
"The cleanliness of the restaurant's kitchen was impeccable, reflecting high hygiene standards.",cleanliness of the restaurant's kitchen,impeccable,positive,AMBIENCE#GENERAL
"The taste of the dessert was heavenly, a perfect ending to the meal.",dessert,heavenly,positive,FOOD#QUALITY
"The hotel amenities included a fitness center and spa, providing guests with relaxation options.",fitness center,inclusive,positive,AMBIENCE#GENERAL
"The hotel amenities included a fitness center and spa, providing guests with relaxation options.",spa,relaxation options,positive,AMBIENCE#GENERAL
"The responsiveness of the customer support team was impressive, they addressed my concerns promptly.",customer support team,responsiveness,positive,SUPPORT#GENERAL
"The location of the office building was convenient, close to public transportation hubs.",location of the office building,convenient,positive,LOCATION#GENERAL
"The food presentation was lacking, it looked unappetizing.",food presentation,lacking,negative,FOOD#QUALITY
"The variety of toppings available for the pizza was extensive, allowing for customization.",variety of toppings,extensive,positive,FOOD#QUALITY
"The temperature in the conference room was too warm, they should adjust the air conditioning.",temperature,too warm,negative,AMBIENCE#GENERAL
"The temperature in the conference room was too warm, they should adjust the air conditioning.",air conditioning,adjust,negative,AMBIENCE#GENERAL
"The staff attitude was rude and unprofessional, it negatively impacted my experience.",staff attitude,rude and unprofessional,negative,SERVICE#GENERAL
"The selection of teas at the tea house was vast, with options from different regions.",teas,vast,positive,DRINKS#STYLE_OPTIONS
"The hotel room was clean and well-maintained, with modern amenities provided.",hotel room,clean,positive,AMBIENCE#GENERAL
"The hotel room was clean and well-maintained, with modern amenities provided.",amenities,well-maintained,positive,AMBIENCE#GENERAL
"The responsiveness of the website was slow, it took ages to load.",responsiveness,slow,negative,SOFTWARE#OPERATION_PERFORMANCE
"The menu descriptions were informative, providing details about each dish's ingredients.",menu descriptions,informative,positive,FOOD#QUALITY
"The decor of the bar was trendy, with modern furnishings and ambient lighting.",decor,trendy,positive,AMBIENCE#GENERAL
"The decor of the bar was trendy, with modern furnishings and ambient lighting.",furnishings,modern,positive,AMBIENCE#GENERAL
"The decor of the bar was trendy, with modern furnishings and ambient lighting.",ambient lighting,modern,positive,AMBIENCE#GENERAL
"The internet speed was blazing fast, allowing for seamless browsing.",internet speed,blazing fast,positive,PORTS#OPERATION_PERFORMANCE
"The portion sizes of the entrees were small, leaving me unsatisfied.",portion sizes,small,negative,FOOD#STYLE_OPTIONS
"The taste of the cocktail was refreshing, perfectly balanced flavors.",cocktail,refreshing,positive,DRINKS#QUALITY
"The hotel staff were courteous and helpful, attending to all my needs.",hotel staff,courteous,positive,SERVICE#GENERAL
"The atmosphere in the restaurant was lively, with background music and chatter.",atmosphere,lively,positive,AMBIENCE#GENERAL
"The cleanliness of the hotel room was subpar, there were stains on the carpet.",cleanliness of the hotel room,subpar,negative,AMBIENCE#GENERAL
"The cleanliness of the hotel room was subpar, there were stains on the carpet.",stains on the carpet,subpar,negative,AMBIENCE#GENERAL
"The quality of the customer service was exceptional, they went above and beyond to assist me.",customer service,exceptional,positive,SUPPORT#QUALITY
"The location of the store was convenient, with parking available nearby.",location,convenient,positive,LOCATION#GENERAL
"The location of the store was convenient, with parking available nearby.",parking,available nearby,positive,AMBIENCE#GENERAL
"The food presentation was impressive, each dish looked like a work of art.",food presentation,impressive,positive,FOOD#QUALITY
"The food presentation was impressive, each dish looked like a work of art.",dish,work of art,positive,FOOD#QUALITY
"The variety of beers on tap was impressive, with options for every palate.",beers on tap,impressive,positive,DRINKS#STYLE_OPTIONS
"The temperature of the coffee was scalding hot, they need to let it cool down.",coffee,scalding hot,negative,DRINKS#QUALITY
"The responsiveness of the website design was poor, it was not mobile-friendly.",responsiveness,poor,negative,SOFTWARE#OPERATION_PERFORMANCE
"The responsiveness of the website design was poor, it was not mobile-friendly.",website design,not mobile-friendly,negative,SOFTWARE#OPERATION_PERFORMANCE
"The selection of pastries at the bakery was extensive, with both sweet and savory options.",pastries,extensive,positive,FOOD#STYLE_OPTIONS
"The decor of the hotel lobby was elegant, with marble floors and chandeliers.",decor of the hotel lobby,elegant,positive,AMBIENCE#GENERAL
"The internet connection was spotty, I kept losing connection.",internet connection,spotty,negative,PORTS#OPERATION_PERFORMANCE
"The taste of the sushi was exquisite, with fresh fish and perfectly seasoned rice.",sushi,exquisite,positive,FOOD#QUALITY
"The taste of the sushi was exquisite, with fresh fish and perfectly seasoned rice.",fish,fresh,positive,FOOD#QUALITY
"The taste of the sushi was exquisite, with fresh fish and perfectly seasoned rice.",rice,perfectly seasoned,positive,FOOD#QUALITY
"The hotel amenities included a swimming pool and sauna, providing relaxation options for guests.",swimming pool,inclusive,positive,AMBIENCE#GENERAL
"The hotel amenities included a swimming pool and sauna, providing relaxation options for guests.",sauna,relaxation options,positive,AMBIENCE#GENERAL
"The responsiveness of the staff was lacking, I had to wait a long time for assistance.",staff,responsiveness,negative,SERVICE#GENERAL
"The location of the restaurant was picturesque, overlooking the ocean.",location,pictorial,positive,RESTAURANT#GENERAL
"The food presentation was lackluster, the dishes looked unappealing.",food presentation,lackluster,negative,FOOD#QUALITY
"The food presentation was lackluster, the dishes looked unappealing.",dishes,unappealing,negative,FOOD#QUALITY
"The variety of cocktails on the menu was impressive, with creative concoctions available.",cocktails,impressive,positive,DRINKS#STYLE_OPTIONS
"The variety of cocktails on the menu was impressive, with creative concoctions available.",concoctions,creative,positive,DRINKS#STYLE_OPTIONS
"The temperature of the room was too hot, they should lower the thermostat.",temperature of the room,too hot,negative,AMBIENCE#GENERAL
"The professionalism of the hotel staff was commendable, they handled all requests efficiently.",hotel staff,professionalism,positive,SERVICE#GENERAL
"The taste of the wine was exquisite, with complex flavors and a smooth finish.",wine,exquisite,positive,DRINKS#QUALITY
"The cleanliness of the hotel lobby was impeccable, with no litter in sight.",cleanliness of the hotel lobby,impeccable,positive,AMBIENCE#GENERAL
"The selection of desserts at the bakery was tempting, with decadent treats on display.",desserts,tasty,positive,FOOD#QUALITY
"The selection of desserts at the bakery was tempting, with decadent treats on display.",treats,decent,positive,FOOD#QUALITY
"The decor of the restaurant was stylish, with modern furnishings and vibrant artwork.",decor,stylish,positive,AMBIENCE#GENERAL
"The decor of the restaurant was stylish, with modern furnishings and vibrant artwork.",furnishings,modern,positive,AMBIENCE#GENERAL
"The decor of the restaurant was stylish, with modern furnishings and vibrant artwork.",artwork,vibrant,positive,AMBIENCE#GENERAL
"The internet speed was lightning-fast, allowing for seamless streaming and downloads.",internet speed,lightning-fast,positive,PORTS#OPERATION_PERFORMANCE
"The portion sizes of the main courses were generous, ensuring a satisfying meal.",portion sizes,generous,positive,FOOD#STYLE_OPTIONS
"The portion sizes of the main courses were generous, ensuring a satisfying meal.",meal,satisfying,positive,FOOD#QUALITY
"The taste of the ice cream was heavenly, with rich flavors and creamy texture.",ice cream,heavenly,positive,FOOD#QUALITY
"The hotel amenities included a business center and meeting rooms, catering to business travelers.",hotel amenities,business center,positive,AMBIENCE#GENERAL
"The responsiveness of the website was excellent, with pages loading instantly.",responsiveness,excellent,positive,SOFTWARE#OPERATION_PERFORMANCE
"The responsiveness of the website was excellent, with pages loading instantly.",pages,loading instantly,positive,SOFTWARE#OPERATION_PERFORMANCE
"The location of the cafe was quaint, nestled in a charming neighborhood.",location,quaint,positive,RESTAURANT#GENERAL
"The location of the cafe was quaint, nestled in a charming neighborhood.",neighborhood,charming,positive,AMBIENCE#GENERAL
"The variety of sandwiches on the menu was extensive, with options for every taste.",variety of sandwiches,extensive,positive,FOOD#STYLE_OPTIONS
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
The customer service was exceptional; the staff was very helpful and attentive.,customer service,exceptional,positive,SUPPORT#GENERAL
The customer service was exceptional; the staff was very helpful and attentive.,staff,helpful,positive,SERVICE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,ambiance,loved,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,atmosphere,cozy,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,music,soothing,positive,AMBIENCE#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",prices,reasonable,positive,PRICES#GENERAL
"The prices at the grocery store are reasonable, but the selection is limited.",selection,limited,negative,STYLE_OPTIONS
"The location of the hotel is convenient, close to public transportation and tourist attractions.",location,convenient,positive,RESTAURANT#MISCELLANEOUS
The cleanliness of the restroom was appalling; it definitely needs improvement.,cleanliness of the restroom,appalling,negative,AMBIENCE#GENERAL
"The design of the website is user-friendly and intuitive, making navigation effortless.",design,user-friendly,positive,LAPTOP#DESIGN_FEATURES
"The design of the website is user-friendly and intuitive, making navigation effortless.",navigation,intuitive,positive,LAPTOP#DESIGN_FEATURES
"The sound quality of the speakers is excellent, providing a rich audio experience.",sound quality,excellent,positive,MULTIMEDIA_DEVICES#QUALITY
"The sound quality of the speakers is excellent, providing a rich audio experience.",speakers,rich audio experience,positive,MULTIMEDIA_DEVICES#QUALITY
"The portion size of the dishes served was generous, ensuring no one left hungry.",portion size,generous,positive,FOOD#STYLE_OPTIONS
"The delivery service was punctual, and my order arrived right on time.",delivery service,punctual,positive,SERVICE#GENERAL
"The delivery service was punctual, and my order arrived right on time.",order,arrived right on time,positive,FOOD#QUALITY
"The decor of the restaurant was elegant and tasteful, creating a pleasant dining atmosphere.",decor,elegant and tasteful,positive,AMBIENCE#GENERAL
"The decor of the restaurant was elegant and tasteful, creating a pleasant dining atmosphere.",dining atmosphere,pleasant,positive,AMBIENCE#GENERAL
"The internet speed at the hotel was fast, allowing for smooth browsing and streaming.",internet speed,fast,positive,PORTS#OPERATION_PERFORMANCE
"The variety of dishes on the menu was impressive, catering to different tastes and preferences.",variety of dishes,impressive,positive,FOOD#QUALITY
"The comfort of the seating arrangement was satisfactory, but the chairs could be more cushioned.",seating arrangement,comfortable,positive,AMBIENCE#GENERAL
"The comfort of the seating arrangement was satisfactory, but the chairs could be more cushioned.",chairs,could be more cushioned,neutral,AMBIENCE#GENERAL
"The checkout process at the store was quick and efficient, with no long queues.",checkout process,quick,positive,SUPPORT#OPERATION_PERFORMANCE
The temperature of the room was too cold; they should adjust the thermostat.,temperature of the room,too cold,negative,AMBIENCE#GENERAL
"The professionalism of the staff members was commendable, they handled all inquiries with courtesy.",staff members,professionalism,positive,SERVICE#GENERAL
"The menu options for vegetarians were limited, they should add more plant-based choices.",menu options,limited,negative,FOOD#STYLE_OPTIONS
"The menu options for vegetarians were limited, they should add more plant-based choices.",plant-based choices,add,positive,FOOD#STYLE_OPTIONS
"The packaging of the product was secure, preventing any damage during transit.",packaging,secure,positive,LAPTOP#DESIGN_FEATURES
"The lighting in the room was dim, making it difficult to read.",lighting,difficult to read,negative,AMBIENCE#GENERAL
"The taste of the coffee was bitter, they need to improve the quality of their beans.",coffee,bitter,negative,DRINKS#QUALITY
"The taste of the coffee was bitter, they need to improve the quality of their beans.",beans,quality,negative,FOOD#QUALITY
"The facilities at the gym were well-maintained, with modern equipment available.",facilities,well-maintained,positive,AMBIENCE#GENERAL
"The facilities at the gym were well-maintained, with modern equipment available.",equipment,modern,positive,LAPTOP#GENERAL
"The checkout process on the website was confusing, I had trouble completing my purchase.",checkout process,confusing,negative,SUPPORT#GENERAL
"The speed of the internet connection was inconsistent, leading to frequent disruptions.",internet connection,inconsistent,negative,PORTS#OPERATION_PERFORMANCE
"The cleanliness of the swimming pool was questionable, there were leaves floating in the water.",cleanliness of the swimming pool,questionable,negative,AMBIENCE#GENERAL
"The portion size of the appetizers was small, considering the price.",portion size of the appetizers,small,negative,FOOD#STYLE_OPTIONS
"The check-in process at the hotel was smooth, and the staff were welcoming.",check-in process,smooth,positive,LAPTOP#GENERAL
"The check-in process at the hotel was smooth, and the staff were welcoming.",staff,welcoming,positive,SERVICE#GENERAL
"The view from the balcony was breathtaking, overlooking the city skyline.",balcony,breathtaking,positive,AMBIENCE#GENERAL
"The menu prices were affordable, making it a budget-friendly dining option.",menu prices,affordable,positive,FOOD#PRICES
"The quality of the ingredients used in the dishes was evident, everything tasted fresh.",ingredients,fresh,positive,FOOD#QUALITY
"The temperature of the food was lukewarm, it could have been hotter.",temperature of the food,lukewarm,negative,FOOD#QUALITY
"The selection of wines at the bar was extensive, with options from various regions.",selection of wines,extensive,positive,DRINKS#STYLE_OPTIONS
"The hotel room was spacious and well-furnished, providing a comfortable stay.",hotel room,spacious,positive,AMBIENCE#GENERAL
"The presentation of the dishes was artistic, almost too beautiful to eat.",presentation of the dishes,artistic,positive,FOOD#QUALITY
"The sound insulation in the room was poor, I could hear noise from the neighboring rooms.",sound insulation,poor,negative,AMBIENCE#GENERAL
"The staff members were knowledgeable about the menu, offering helpful recommendations.",staff members,knowledgeable,positive,SERVICE#GENERAL
"The check-out process was hassle-free, and I received my invoice promptly.",check-out process,hover-free,positive,SUPPORT#GENERAL
"The check-out process was hassle-free, and I received my invoice promptly.",invoice,promptly,positive,SUPPORT#GENERAL
"The decor of the cafe was charming, with vintage furniture and cozy lighting.",decor,charming,positive,AMBIENCE#GENERAL
"The decor of the cafe was charming, with vintage furniture and cozy lighting.",furnishings,cozy,positive,AMBIENCE#GENERAL
"The internet connection was unreliable, constantly dropping out.",internet connection,unreliable,negative,PORTS#OPERATION_PERFORMANCE
"The cleanliness of the restaurant's kitchen was impeccable, reflecting high hygiene standards.",cleanliness of the restaurant's kitchen,impeccable,positive,AMBIENCE#GENERAL
"The taste of the dessert was heavenly, a perfect ending to the meal.",dessert,heavenly,positive,FOOD#QUALITY
"The hotel amenities included a fitness center and spa, providing guests with relaxation options.",fitness center,inclusive,positive,AMBIENCE#GENERAL
"The hotel amenities included a fitness center and spa, providing guests with relaxation options.",spa,relaxation options,positive,AMBIENCE#GENERAL
"The responsiveness of the customer support team was impressive, they addressed my concerns promptly.",customer support team,responsiveness,positive,SUPPORT#GENERAL
"The location of the office building was convenient, close to public transportation hubs.",location of the office building,convenient,positive,LOCATION#GENERAL
"The food presentation was lacking, it looked unappetizing.",food presentation,lacking,negative,FOOD#QUALITY
"The variety of toppings available for the pizza was extensive, allowing for customization.",variety of toppings,extensive,positive,FOOD#QUALITY
"The temperature in the conference room was too warm, they should adjust the air conditioning.",temperature,too warm,negative,AMBIENCE#GENERAL
"The temperature in the conference room was too warm, they should adjust the air conditioning.",air conditioning,adjust,negative,AMBIENCE#GENERAL
"The staff attitude was rude and unprofessional, it negatively impacted my experience.",staff attitude,rude and unprofessional,negative,SERVICE#GENERAL
"The selection of teas at the tea house was vast, with options from different regions.",teas,vast,positive,DRINKS#STYLE_OPTIONS
"The hotel room was clean and well-maintained, with modern amenities provided.",hotel room,clean,positive,AMBIENCE#GENERAL
"The hotel room was clean and well-maintained, with modern amenities provided.",amenities,well-maintained,positive,AMBIENCE#GENERAL
"The responsiveness of the website was slow, it took ages to load.",responsiveness,slow,negative,SOFTWARE#OPERATION_PERFORMANCE
"The menu descriptions were informative, providing details about each dish's ingredients.",menu descriptions,informative,positive,FOOD#QUALITY
"The decor of the bar was trendy, with modern furnishings and ambient lighting.",decor,trendy,positive,AMBIENCE#GENERAL
"The decor of the bar was trendy, with modern furnishings and ambient lighting.",furnishings,modern,positive,AMBIENCE#GENERAL
"The decor of the bar was trendy, with modern furnishings and ambient lighting.",ambient lighting,modern,positive,AMBIENCE#GENERAL
"The internet speed was blazing fast, allowing for seamless browsing.",internet speed,blazing fast,positive,PORTS#OPERATION_PERFORMANCE
"The portion sizes of the entrees were small, leaving me unsatisfied.",portion sizes,small,negative,FOOD#STYLE_OPTIONS
"The taste of the cocktail was refreshing, perfectly balanced flavors.",cocktail,refreshing,positive,DRINKS#QUALITY
"The hotel staff were courteous and helpful, attending to all my needs.",hotel staff,courteous,positive,SERVICE#GENERAL
"The atmosphere in the restaurant was lively, with background music and chatter.",atmosphere,lively,positive,AMBIENCE#GENERAL
"The cleanliness of the hotel room was subpar, there were stains on the carpet.",cleanliness of the hotel room,subpar,negative,AMBIENCE#GENERAL
"The cleanliness of the hotel room was subpar, there were stains on the carpet.",stains on the carpet,subpar,negative,AMBIENCE#GENERAL
"The quality of the customer service was exceptional, they went above and beyond to assist me.",customer service,exceptional,positive,SUPPORT#QUALITY
"The location of the store was convenient, with parking available nearby.",location,convenient,positive,LOCATION#GENERAL
"The location of the store was convenient, with parking available nearby.",parking,available nearby,positive,AMBIENCE#GENERAL
"The food presentation was impressive, each dish looked like a work of art.",food presentation,impressive,positive,FOOD#QUALITY
"The food presentation was impressive, each dish looked like a work of art.",dish,work of art,positive,FOOD#QUALITY
"The variety of beers on tap was impressive, with options for every palate.",beers on tap,impressive,positive,DRINKS#STYLE_OPTIONS
"The temperature of the coffee was scalding hot, they need to let it cool down.",coffee,scalding hot,negative,DRINKS#QUALITY
"The responsiveness of the website design was poor, it was not mobile-friendly.",responsiveness,poor,negative,SOFTWARE#OPERATION_PERFORMANCE
"The responsiveness of the website design was poor, it was not mobile-friendly.",website design,not mobile-friendly,negative,SOFTWARE#OPERATION_PERFORMANCE
"The selection of pastries at the bakery was extensive, with both sweet and savory options.",pastries,extensive,positive,FOOD#STYLE_OPTIONS
"The decor of the hotel lobby was elegant, with marble floors and chandeliers.",decor of the hotel lobby,elegant,positive,AMBIENCE#GENERAL
"The internet connection was spotty, I kept losing connection.",internet connection,spotty,negative,PORTS#OPERATION_PERFORMANCE
"The taste of the sushi was exquisite, with fresh fish and perfectly seasoned rice.",sushi,exquisite,positive,FOOD#QUALITY
"The taste of the sushi was exquisite, with fresh fish and perfectly seasoned rice.",fish,fresh,positive,FOOD#QUALITY
"The taste of the sushi was exquisite, with fresh fish and perfectly seasoned rice.",rice,perfectly seasoned,positive,FOOD#QUALITY
"The hotel amenities included a swimming pool and sauna, providing relaxation options for guests.",swimming pool,inclusive,positive,AMBIENCE#GENERAL
"The hotel amenities included a swimming pool and sauna, providing relaxation options for guests.",sauna,relaxation options,positive,AMBIENCE#GENERAL
"The responsiveness of the staff was lacking, I had to wait a long time for assistance.",staff,responsiveness,negative,SERVICE#GENERAL
"The location of the restaurant was picturesque, overlooking the ocean.",location,pictorial,positive,RESTAURANT#GENERAL
"The food presentation was lackluster, the dishes looked unappealing.",food presentation,lackluster,negative,FOOD#QUALITY
"The food presentation was lackluster, the dishes looked unappealing.",dishes,unappealing,negative,FOOD#QUALITY
"The variety of cocktails on the menu was impressive, with creative concoctions available.",cocktails,impressive,positive,DRINKS#STYLE_OPTIONS
"The variety of cocktails on the menu was impressive, with creative concoctions available.",concoctions,creative,positive,DRINKS#STYLE_OPTIONS
"The temperature of the room was too hot, they should lower the thermostat.",temperature of the room,too hot,negative,AMBIENCE#GENERAL
"The professionalism of the hotel staff was commendable, they handled all requests efficiently.",hotel staff,professionalism,positive,SERVICE#GENERAL
"The taste of the wine was exquisite, with complex flavors and a smooth finish.",wine,exquisite,positive,DRINKS#QUALITY
"The cleanliness of the hotel lobby was impeccable, with no litter in sight.",cleanliness of the hotel lobby,impeccable,positive,AMBIENCE#GENERAL
"The selection of desserts at the bakery was tempting, with decadent treats on display.",desserts,tasty,positive,FOOD#QUALITY
"The selection of desserts at the bakery was tempting, with decadent treats on display.",treats,decent,positive,FOOD#QUALITY
"The decor of the restaurant was stylish, with modern furnishings and vibrant artwork.",decor,stylish,positive,AMBIENCE#GENERAL
"The decor of the restaurant was stylish, with modern furnishings and vibrant artwork.",furnishings,modern,positive,AMBIENCE#GENERAL
"The decor of the restaurant was stylish, with modern furnishings and vibrant artwork.",artwork,vibrant,positive,AMBIENCE#GENERAL
"The internet speed was lightning-fast, allowing for seamless streaming and downloads.",internet speed,lightning-fast,positive,PORTS#OPERATION_PERFORMANCE
"The portion sizes of the main courses were generous, ensuring a satisfying meal.",portion sizes,generous,positive,FOOD#STYLE_OPTIONS
"The portion sizes of the main courses were generous, ensuring a satisfying meal.",meal,satisfying,positive,FOOD#QUALITY
"The taste of the ice cream was heavenly, with rich flavors and creamy texture.",ice cream,heavenly,positive,FOOD#QUALITY
"The hotel amenities included a business center and meeting rooms, catering to business travelers.",hotel amenities,business center,positive,AMBIENCE#GENERAL
"The responsiveness of the website was excellent, with pages loading instantly.",responsiveness,excellent,positive,SOFTWARE#OPERATION_PERFORMANCE
"The responsiveness of the website was excellent, with pages loading instantly.",pages,loading instantly,positive,SOFTWARE#OPERATION_PERFORMANCE
"The location of the cafe was quaint, nestled in a charming neighborhood.",location,quaint,positive,RESTAURANT#GENERAL
"The location of the cafe was quaint, nestled in a charming neighborhood.",neighborhood,charming,positive,AMBIENCE#GENERAL
"The variety of sandwiches on the menu was extensive, with options for every taste.",variety of sandwiches,extensive,positive,FOOD#STYLE_OPTIONS
"The temperature of the soup was lukewarm, it should have been served hotter.",soup,lukewarm,negative,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
The customer service was exceptional; the staff was very helpful and attentive.,customer service,exceptional,positive,SUPPORT#GENERAL
The customer service was exceptional; the staff was very helpful and attentive.,staff,helpful,positive,SERVICE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,ambiance,loved,positive,AMBIENCE#GENERAL
I loved the ambiance of the cafe; it had a cozy atmosphere with soothing music.,atmosphere,cozy,positive,AMBIENCE#GENERAL
